variedad;codigo;planta_bulk;fecha_ciclado;Ciclado;fecha_vidrio;SSR;1;2;3;4;5;5_1;6;7;8;1b9;1_1;1_2;2_1;9;10;11;12;13;14
Co 419;122;B1;23/9/2024;;25/9/2024;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
LCP 85-384;125;B1;23/9/2024;;25/9/2024;NKS26;1;1;1;1;1;;1;0;;;;;;;;;;;
LCP 85-384;125;B2;23/9/2024;;25/9/2024;NKS26;1;1;1;1;1;;1;0;;;;;;;;;;;
TUC 77-42;130;B1;23/9/2024;;25/9/2024;NKS26;0;1;0;0;1;;1;0;;;;;;;;;;;
CP 70-1133;131;B2;23/9/2024;;25/9/2024;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
NA 04-1754;134;B1;23/9/2024;;25/9/2024;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
NA 90-1015;135;B1;23/9/2024;;25/9/2024;NKS26;0;1;1;1;1;;1;0;;;;;;;;;;;
TUC 69-2;139;B1;23/9/2024;;25/9/2024;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
FAM 83-264;141;B1;23/9/2024;;25/9/2024;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
SP 70-1284;144;B1;23/9/2024;;25/9/2024;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
L 98-209;145;B1;23/9/2024;;25/9/2024;NKS26;1;1;1;1;1;;1;0;;;;;;;;;;;
SP 70-1143;157;B1;23/9/2024;;25/9/2024;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 03-559;100;P2;22/1/2024;;23/1/2024;NKS22;1;1;0;1;1;;0;1;0;0;;;;;;;;;
NA 03-559;100;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;1;;0;1;0;0;;;;;;;;;
NA 07-493;101;B2;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 07-493;101;B1;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 07-493;101;P2;22/1/2024;;23/1/2024;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 07-493;101;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 12-1621;102;P4;13/2/2025;;17/2/2025;NKS22;1;1;0;0;1;;0;0;0;0;;;;;;;;;
NA 12-1621;102;B1;19/2/2025;;24/2/2025;NKS22;1;1;0;0;1;;0;0;0;0;;;;;;;;;
NA 12-1621;102;P2;22/1/2024;;23/1/2024;NKS22;1;1;0;0;1;;0;0;0;0;;;;;;;;;
NA 12-1621;102;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;0;1;;0;0;0;0;;;;;;;;;
NA 05-2019;103;P4;13/2/2025;;17/2/2025;NKS22;1;1;1;1;0;;0;0;0;0;;;;;;;;;
NA 05-2019;103;B1;11/2/2025;;12/2/2025;NKS22;1;1;1;1;0;;0;0;0;0;;;;;;;;;
NA 05-2019;103;P2;22/1/2024;;23/1/2024;NKS22;1;1;1;1;0;;0;0;0;0;;;;;;;;;
NA 05-2019;103;P2;30/1/2024;;31/1/2024;NKS22;1;1;1;1;0;;0;0;0;0;;;;;;;;;
NA 84-3920;104;P3;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 84-3920;104;B1;11/2/2025;;12/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 84-3920;104;P2;22/1/2024;;23/1/2024;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 84-3920;104;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 87-146;105;P3;13/2/2025;;17/2/2025;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
NA 87-146;105;P4;13/2/2025;;17/2/2025;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
NA 87-146;105;B1;11/2/2025;;17/2/2025;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
