variedad,codigo,planta_bulk,fecha ciclado,fecha vidrio,SSR,1,2,3,4,5,6,7,8,1B/9,,
NA 90-1015,135,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
FAM 87-101,137,B1,4/2/2025,6/2/2025,NKS22,1,1,0,0,0,0,0,0,0,,
TUC 69-2,139,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
FAM 83-264,141,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,1,0,0,0,0,,
NA 86-1644,142,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
SP 83-2847,143,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,1,0,0,,
SP 70-1284,144,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,1,0,0,,
L 98-209,145,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
TUC 00-19,146,B1,4/2/2025,6/2/2025,NKS22,0,1,0,1,0,0,0,0,0,,
TUC 06-7,147,P1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
TUC 06-7,147,P2,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
TUC 00-65,148,P1,4/2/2025,6/2/2025,NKS22,0,1,0,1,0,0,0,0,0,,
TUC 03-12,149,B1,4/2/2025,6/2/2025,NKS22,0,1,0,1,0,0,0,0,0,,
NA 73-1454,150,B1,4/2/2025,6/2/2025,NKS22,0,1,0,1,0,1,0,0,0,,
33.3 A,152,P1,4/2/2025,6/2/2025,NKS22,1,1,0,1,1,1,0,0,0,,
33.3.B,153,P1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
R579 14.2,154,B1,4/2/2025,6/2/2025,NKS22,1,1,0,0,0,1,0,0,0,,
R570 14.2,154,P1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
R570 CIV,155,P1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
QAB 016,158,B2,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 56-35,160,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
NA 56-35,160,B2,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
NA 03-559,100,P2,27/10/23,30/10/23,NKS26,1,0,1,1,0,1,0,,,,
NA 03-559,100,P2,27/10/23,31/10/23,NKS26,1,0,1,1,0,1,0,,,,
NA 03-559,100,P2,30/1/24,31/1/24,NKS26,0,1,1,1,0,1,0,,,,
NA 03-559,100,P2,23/2/24,26/2/24,NKS26,1,0,1,1,0,1,0,,,,
NA 03-559,100,B1,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,0,,,,
NA 03-559,100,B2,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,0,,,,
NA 07-493,101,P2,27/10/23,30/10/23,NKS26,1,0,1,1,0,1,1,,,,
NA 07-493,101,P1,27/10/23,31/10/23,NKS26,1,0,1,1,0,1,1,,,,
NA 07-493,101,P1,30/1/24,31/1/24,NKS26,0,1,1,1,0,1,1,,,,
NA 07-493,101,P1,23/2/24,26/2/24,NKS26,1,0,1,1,0,1,1,,,,
NA 07-493,101,B1,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,1,,,,
NA 07-493,101,B2,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,1,,,,
NA 12-1621,102,P2,27/10/23,30/10/23,NKS26,0,0,1,0,1,1,0,,,,
NA 12-1621,102,P1,27/10/23,31/10/23,NKS26,0,0,1,0,0,1,1,,,,
NA 12-1621,102,P1,30/1/24,31/1/24,NKS26,0,0,1,0,1,1,0,,,,
NA 12-1621,102,P1,23/2/24,26/2/24,NKS26,0,0,1,0,0,1,0,,,,
NA 05-2019,103,P2,27/10/23,30/10/23,NKS26,0,0,1,0,1,1,0,,,,
NA 05-2019,103,P1,27/10/23,31/10/23,NKS26,0,0,1,0,0,1,0,,,,
NA 05-2019,103,P1,30/1/24,31/1/24,NKS26,0,0,1,0,0,1,0,,,,
NA 05-2019,103,P1,23/2/24,26/2/24,NKS26,0,0,1,0,0,1,0,,,,
NA 84-3920,104,P2,27/10/23,30/10/23,NKS26,0,0,1,0,1,1,1,,,,
