variedad;codigo;planta_bulk;fecha ciclado;Ciclado;fecha vidrio;SSR;1;2;3;4;5;20;6;7;8;24;21;22;23;9;10;11;12;13;14
NA 73-2596;107;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;0;0;0
NA 73-2596;107;P2;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;0;0;0
NA 76-128;108;B1;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 76-128;108;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 78-639;109;B1;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 78-639;109;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 97-567;112;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;1;0;0
NA 97-567;112;B1;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;1;0;0
NA 98-597;116;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;1;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 04-1613;119;P2;08/05/25;;08/05/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;1;1;0;0;0;0;0
LCP 85-384;125;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;1;1;0;0;0
LCP 85-384;125;P3;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;1;1;0;0;0
LCP 85-384;125;B1;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;1;1;0;0;0
TUC 77-42;130;P3;08/05/25;;08/05/25;mSSCIR1;1;0;1;0;0;;0;1;1;;1;1;0;0;0;0;0;0;0
NA 88-1723;133;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 88-1723;133;B1;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;0;;0;0;0;0;0;0;0;0;0
TUC 69-2;139;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
TUC 69-2;139;B1;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 12-1621;102;B1;24/04/25;;25/04/25;mSSCIR1;0;0;0;0;0;;0;1;0;;0;0;0;0;1;1;1;0;0
NA 05-2019;103;B1;24/04/25;;25/04/25;mSSCIR1;1;0;1;1;0;;1;1;1;;0;0;0;0;0;0;0;0;0
NA 84-3920;104;B2;24/04/25;;25/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 87-146;105;B1;24/04/25;;25/04/25;mSSCIR1;1;1;1;0;1;;0;1;0;;0;0;0;0;0;1;1;0;0
NA 73-2596;107;B2;24/04/25;;25/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;0;0;0
NA 12-166;111;B1;24/04/25;;25/04/25;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;1;0;0;1;1;1
NA 04-1613;119;B1;24/04/25;;25/04/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;0;1;0;0;0;0;0
NA 05-860;120;B1;24/04/25;;25/04/25;mSSCIR1;0;1;1;0;1;;1;1;1;;0;0;0;0;0;1;1;0;0
